DateTime,AddedIPs,RemovedIPs
1612000829,1,1
1612004433,3,0
1612011629,1,1
1612015229,0,1
1612026028,0,2
1612033229,2,0
1612036828,2,3
1612040432,2,15
1612044028,3,0
1612047629,5,3
1612051233,2,2
1612054829,4,1
1612058428,2,2
1612062032,0,1
1612065632,5,1
1612069232,12,1
1612076429,1,2
1612080028,1,0
1612087229,1,1
1612090832,1,0
1612094432,1,0
1612098029,3,3
1612108832,0,1
1612112429,1,0
1612116033,1,0
1612123228,0,2
1612137632,0,15
1612141232,2,2
1612148433,0,1
1612152033,1,1
1612159234,3,0
1612162843,2,0
1612173647,2,1
1612177243,14,0
1612180836,0,2
1612184446,2,0
1612188035,18,0
1612191634,2,0
1612195251,0,1
1612202435,1,0
1612206004,1,0
1612213208,0,1
1612220408,1,1
1612224004,2,0
1612227606,2,2
1612231207,1,1
1612234805,0,4
1612242005,0,11
1612245610,2,2
1612249205,0,2
1612252809,2,2
1612260005,1,2
1612263606,16,0
1612267211,1,0
1612270804,1,0
1612281604,3,1
1612288804,0,1
1612296004,1,1
1612299605,2,3
1612303205,0,3
1612310409,0,1
1612314005,2,4
1612317605,1,3
1612321204,0,1
1612324806,0,4
1612328411,7,5
1612332005,2,7
1612335611,0,3
1612342805,2,0
1612346410,1,5
1612350007,1,1
1612353609,0,1
1612357204,1,2
1612360805,1,0
1612364404,14,0
1612378808,1,0
1612382405,1,0
1612386010,2,1
1612389606,0,1
1612393207,1,1
1612396807,0,2
1612400405,0,2
1612404011,0,1
1612411205,0,1
1612414806,1,0
1612422005,2,1
1612429212,0,13
1612432805,1,0
1612440004,1,0
1612443606,1,0
1612458010,1,0
1612465209,11,2
1612468806,1,1
1612476004,0,1
1612479605,1,0
1612483205,3,0
1612486805,3,5
1612494005,1,1
1612497607,1,2
1612501204,1,0
1612504809,0,1
1612508406,2,0
1612515606,0,1
1612519205,1,0
1612522806,0,2
1612530006,4,1
1612533605,0,1
1612551605,0,2
1612555204,1,0
1612558810,2,0
1612562406,1,0
1612566011,5,1
1612569605,0,14
1612573211,1,1
1612576806,1,0
1612580410,1,2
1612584005,1,1
1612587605,3,0
1612591214,0,1
1612594807,0,1
1612598405,0,2
1612602004,1,0
1612605610,1,1
1612609205,1,2
1612612811,2,2
1612616406,16,0
1612620006,3,0
1612630815,1,0
1612638004,0,1
1612641605,1,3
1612645212,0,2
1612648807,0,3
1612652406,1,6
1612656006,0,2
1612659611,1,2
1612663205,0,2
1612670412,1,2
1612674007,0,15
1612677605,1,0
1612681206,0,1
1612688406,0,1
1612692007,1,3
1612695606,0,1
1612699214,1,1
1612702806,0,1
1612710018,1,0
1612713609,0,1
1612717209,15,1
1612720807,1,1
1612724405,1,0
1612746008,1,1
1612756811,0,2
1612760408,2,0
1612764006,0,3
1612767611,1,1
1612778405,1,0
1612782006,1,14
1612785610,1,2
1612789209,2,2
1612792807,0,18
1612796405,0,2
1612803605,5,0
1612807206,5,1
1612810809,10,0
1612814405,3,0
1612818010,2,0
1612821606,2,2
1612825205,2,1
1612828805,1,1
1612832410,2,1
1612836011,3,0
1612839613,2,1
1612843205,2,1
1612846815,1,0
1612850406,0,1
1612857605,0,2
1612861205,0,1
1612868406,2,12
1612872006,2,1
1612875605,1,1
1612879205,0,2
1612893608,0,1
1612897205,1,0
1612900812,1,0
1612904406,1,1
1612908005,1,0
1612915209,0,1
1612918806,15,2
1612922407,1,0
1612926004,1,1
1612933206,0,6
1612936806,1,2
1612944007,0,1
1612947611,0,2
1612951208,0,1
1612954818,1,1
1612958412,2,0
1612962006,0,1
1612965607,0,1
1612969207,1,16
1612972805,1,0
1612983606,0,3
1612987206,0,1
1612990805,0,1
1612994406,2,0
1612998008,0,2
1613001606,2,1
1613005210,2,2
1613012406,12,0
1613016012,1,0
1613019605,0,1
1613026813,2,1
1613037612,1,0
1613041212,1,0
1613048405,2,0
1613062813,0,1
1613070005,0,15
1613073606,0,1
1613077205,1,0
1613080809,2,0
